;Predictions;True labels;
100;0,048220687;0,03;0,60735622
101;0,090908043;0,08;0,136350539
102;0,02077084;0,02;0,038542017
103;0,076003201;0,05;0,520064026
104;0,069605999;0,08;0,129925016
105;0,067113563;0,01;5,711356342
106;0,091827132;0,05;0,836542636
107;0,028920136;0,05;0,421597272
108;0,062259182;0,08;0,221760221
109;0,043013051;0,03;0,433768372
110;0,070646346;0,05;0,412926912
111;0,037965447;0,01;2,796544671
112;0,068575442;0,08;0,142806977
113;0,104299389;0,13;0,197697009
114;0,088764928;0,08;0,109561604
115;0,056289461;0,05;0,12578921
116;0,02827562;0,02;0,41378101
117;0,070130393;0,08;0,123370089
118;0,073881067;0,03;1,462702245
119;0,031275522;0,01;2,127552196
120;0,047166411;0,01;3,716641083
121;0,002809366;0,01;0,719063379
122;0,034422845;0,02;0,721142232
123;0,030812887;0,03;0,027096249
124;0,115217373;0,13;0,113712517
125;0,075750299;0,08;0,053121265
126;0,049361199;0,05;0,012776017
127;0,019170107;0,01;0,917010732
128;0,028364336;0,01;1,836433612
129;0,078700192;0,05;0,574003845
130;0,057740185;0,03;0,924672847
131;0,081639998;0,08;0,020499971
132;0,05788134;0,03;0,929378013
133;0,04092646;0,01;3,092646018
134;0,00457083;0,01;0,542916985
135;0,056025613;0,01;4,60256131
136;0,019318627;0,02;0,03406864
137;0,03917722;0,01;2,917722031
138;0,018656418;0,01;0,865641773
139;0,037210491;0,01;2,721049055
140;0,043064974;0,05;0,138700515
141;0,074244246;0,08;0,071946926
142;0,09036047;0,08;0,129505876
143;0,063719131;0,08;0,203510862
144;0,069968529;0,08;0,125393387
145;0,090161316;0,05;0,803226322
146;0,049860928;0,05;0,002781436
147;0,064236253;0,08;0,197046831
148;0,042459533;0,02;1,122976631
149;0,046595532;0,05;0,068089351
150;0,108063065;0,13;0,168745658
151;0,036246598;0,02;0,812329888
152;0,031471446;0,03;0,049048205
153;0,02484362;0,03;0,171879329
154;0,016724421;0,01;0,672442071
155;0,055936553;0,03;0,864551753
156;0,058215335;0,08;0,272308312
157;0,069445387;0,08;0,131932668
158;0,059327822;0,05;0,186556444
159;0,066993438;0,05;0,339868754
160;0,061076343;0,08;0,236545712
161;0,043466028;0,03;0,448867594
162;0,057349641;0,03;0,911654696
163;0,080404401;0,08;0,00505501
164;0,075622343;0,05;0,512446851
165;0,052437074;0,02;1,621853724
166;0,023060191;0,01;1,306019142
167;0,061424833;0,08;0,23218959
168;0,035474103;0,01;2,547410294
169;0,086902738;0,08;0,08628422
170;0,035640307;0,05;0,287193865
171;0,03504413;0,01;2,504412994
172;0,077594906;0,08;0,030063674
173;0,057258241;0,08;0,284271989
174;0,05976842;0,08;0,252894754
175;0,050069161;0,05;0,001383215
176;0,036036313;0,02;0,801815629
177;0,051286355;0,13;0,60548958
178;0,025189824;0,02;0,25949122
179;0,027855048;0,02;0,392752398
180;0,048341416;0,03;0,611380527
181;0,030520122;0,05;0,38959755
182;0,047825295;0,05;0,04349409
183;0,04289189;0,05;0,142162204
184;0,078347735;0,05;0,566954702
185;0,026895652;0,02;0,34478258
186;0,058743931;0,05;0,174878627
187;0,031351026;0,05;0,372979477
188;0,039437756;0,05;0,211244881
189;0,092147745;0,08;0,151846815
190;0,03815984;0,05;0,236803204
191;0,073646799;0,05;0,472935975
192;0,066256553;0,05;0,325131059
193;0,042270299;0,01;3,227029905
194;0,032130841;0,03;0,071028039
195;0,057362989;0,08;0,282962643
196;0,094186805;0,13;0,275486114
197;0,049574472;0,05;0,00851056
198;0,01158454;0,01;0,15845399
199;0,06882187;0,05;0,376437396
200;0,062107388;0,05;0,242147759
201;0,063411258;0,08;0,207359273
202;0,043980163;0,08;0,450247968
203;0,047134236;0,05;0,05731529
204;0,026388049;0,03;0,120398362
205;0,018637329;0,01;0,863732934
206;0,03831346;0,05;0,233730808
207;0,07330285;0,08;0,083714373
208;0,044840895;0,05;0,103182107
209;0,054654907;0,01;4,465490744
210;0,03312993;0,05;0,33740139
211;0,059105471;0,08;0,261181615
212;0,029499043;0,01;1,949904278
213;0,019200321;0,01;0,920032129
214;0,061433535;0,05;0,228670701
215;0,043473575;0,01;3,347357526
216;0,048503883;0,08;0,39370146
217;0,040377483;0,03;0,345916092
218;0,028411007;0,05;0,431779869
219;-0,001612679;0,01;1,161267922
220;0,048489749;0,05;0,030205011
221;0,018718991;0,02;0,064050429
222;0,027244456;0,01;1,724445611
223;0,043560397;0,02;1,178019844
224;-0,013113177;0,02;1,655658869
225;0,046430055;0,03;0,547668502
226;0,050387774;0,03;0,679592455
227;0,05676052;0,08;0,290493503
228;0,091729768;0,08;0,146622095
229;0,033888757;0,03;0,129625241
230;0,017140064;0,02;0,142996781
231;0,021968437;0,01;1,196843736
232;0,014485828;0,01;0,448582765
233;0,049677618;0,05;0,006447643
234;0,048084773;0,05;0,038304538
235;0,023961127;0,01;1,39611268
236;0,020592362;0,03;0,313587944
237;0,044200726;0,03;0,473357528
238;0,052522808;0,03;0,750760277
239;0,037210304;0,05;0,255793914
240;0,036193673;0,01;2,619367257
241;0,056084879;0,05;0,121697575
242;0,063829079;0,05;0,276581585
243;0,032009941;0,01;2,200994059
244;0,025917256;0,01;1,591725625
245;0,039739389;0,01;2,973938897
246;0,068107471;0,05;0,362149417
247;0,023038305;0,02;0,151915267
248;0,053654615;0,08;0,329317315
249;0,062880836;0,05;0,257616729
250;0,033395428;0,02;0,669771411
251;0,029937901;0,01;1,99379006
252;0,049472135;0,03;0,649071152
253;0,02426482;0,01;1,426481992
254;0,031611413;0,03;0,053713759
255;0,029880757;0,02;0,494037826
256;0,063267939;0,05;0,265358776
257;0,020480638;0,02;0,024031918
258;0,04896082;0,08;0,387989752
259;0,051367078;0,08;0,357911525
260;0,043764379;0,01;3,376437888
261;0,015852448;0,03;0,47158508
262;0,051127598;0,03;0,704253256
263;0,096838653;0,13;0,255087284
264;0,042361379;0,02;1,118068933
265;0,029741654;0,03;0,008611528
266;0,01812193;0,03;0,395935672
267;0,066947415;0,03;1,231580516
268;0,021426253;0,01;1,142625302
269;0,06184262;0,08;0,226967245
270;0,023117173;0,02;0,155858673
271;0,041301243;0,01;3,130124301
272;0,009636664;0,01;0,036333617
273;0,063195921;0,08;0,210050981
274;0,03346445;0,03;0,11548168
275;0,067077555;0,08;0,161530565
276;0,031014737;0,01;2,101473674
277;0,026610291;0,05;0,467794187
278;0,042611163;0,03;0,420372104
279;0,027021045;0,03;0,099298504
280;0,081681386;0,08;0,02101732
281;0,032809615;0,01;2,280961514
282;0,034539141;0,01;2,453914076
283;0,032936849;0,01;2,29368487
284;0,092618309;0,01;8,261830896
285;0,069802254;0,13;0,463059581
286;0,030430883;0,03;0,014362772
287;0,039017554;0,05;0,219648913
288;0,036261596;0,01;2,626159579
289;0,030681018;0,05;0,386379644
290;0,103692748;0,05;1,073854953
291;0,032501832;0,03;0,083394388
292;0,074693859;0,05;0,493877172
293;0,055075444;0,08;0,311556946
294;0,069258027;0,08;0,134274665
295;0,061691318;0,05;0,233826354
296;0,026301019;0,03;0,12329937
297;0,019478735;0,01;0,947873458
298;0,047083933;0,02;1,354196645
299;0,033070065;0,01;2,307006508
300;0,02599824;0,03;0,133391989
301;0,038617328;0,03;0,28724426
302;0,081579976;0,08;0,019749697
303;0,017077157;0,03;0,430761424
304;0,034976348;0,01;2,497634828
305;0,040366024;0,05;0,192679524
306;0,023030005;0,01;1,30300054
307;0,006692078;0,01;0,330792204
308;0,015633505;0,03;0,478883172
309;0,054862473;0,08;0,314219085
310;0,063067429;0,03;1,102247626
311;0,047404461;0,03;0,580148687
312;0,04473269;0,01;3,473268986
313;0,032332942;0,03;0,07776473
314;0,049251135;0,01;3,925113544
315;0,032114342;0,02;0,605717093
316;0,087633751;0,08;0,095421892
317;0,072769821;0,13;0,440232149
318;0,076032594;0,08;0,049592577
319;0,050310425;0,03;0,677014182
320;0,021557413;0,01;1,155741304
321;0,054275371;0,01;4,427537113
322;0,032108936;0,01;2,210893646
323;0,023929529;0,01;1,392952889
324;0,07456997;0,01;6,456997037
325;0,09741462;0,13;0,250656768
326;0,024649471;0,08;0,691881612
327;0,017319657;0,03;0,422678103
328;0,034163419;0,03;0,138780639
329;0,077197559;0,13;0,406172622
330;0,131995738;0,13;0,015351827
331;0,05419144;0,03;0,806381345
332;0,022387316;0,01;1,238731645
333;0,006764031;0,02;0,661798449
334;0,043388139;0,01;3,338813946
335;0,021083213;0,01;1,108321339
336;0,09942466;0,08;0,242808253
337;0,072108842;0,08;0,09863947
338;0,068786755;0,08;0,14016556
339;0,074048616;0,08;0,0743923
340;0,109101713;0,13;0,160756056
341;0,083794259;0,08;0,047428232
342;0,066272043;0,08;0,171599466
343;0,049090851;0,08;0,386364361
344;0,101182431;0,13;0,221673608
345;0,009935284;0,01;0,006471597
346;0,046597581;0,05;0,068048373
347;0,02243479;0,05;0,551304206
348;0,047833513;0,08;0,402081082
349;0,051419429;0,02;1,570971474
350;0,106377408;0,21;0,493440915
351;0,051569693;0,05;0,031393856
352;0,122640304;0,21;0,415998551
353;0,041634612;0,03;0,387820393
354;0,089648001;0,08;0,120600011
355;0,037417732;0,05;0,251645356
356;0,052982725;0,05;0,059654504
357;0,019711716;0,03;0,342942797
358;0,063508466;0,05;0,270169318
359;0,126699179;0,13;0,025390928
360;0,01978261;0,02;0,010869488
361;0,069034114;0,08;0,137073569
362;0,064266615;0,08;0,196667317
363;0,058976479;0,05;0,179529577
364;0,078523077;0,05;0,570461541
365;0,097197101;0,13;0,252329996
366;0,076715223;0,08;0,041059706
367;0,030719973;0,02;0,535998657
368;0,05648556;0,05;0,129711196
369;0,024582434;0,05;0,508351311
370;0,034534201;0,03;0,151140034
371;0,043576416;0,03;0,452547188
372;0,020111043;0,03;0,3296319
373;0,049215909;0,03;0,640530303
374;0,047551312;0,05;0,048973769
375;0,072109841;0,02;2,605492041
376;0,045031548;0,05;0,099369049
377;0,042250618;0,03;0,408353945
378;0,042437054;0,03;0,414568474
379;0,066500224;0,08;0,168747198
380;0,030089652;0,05;0,398206957
381;0,047377292;0,05;0,052454159
382;0,071221456;0,05;0,424429119
383;0,097252198;0,08;0,21565247
384;0,086860545;0,08;0,085756812
385;0,096538626;0,08;0,206732821
386;0,09125036;0,08;0,1406295
387;0,089800991;0,08;0,122512389
388;0,075176567;0,05;0,503531337
389;0,088834144;0,08;0,110426802
390;0,132953241;0,21;0,366889326
391;0,052131135;0,05;0,0426227
392;0,023659838;0,01;1,365983836
393;0,046494342;0,03;0,549811413
394;0,077763066;0,08;0,027961679
395;0,090953641;0,05;0,819072813
396;0,077551037;0,08;0,030612037
397;0,06711781;0,08;0,161027372
398;0,046620615;0,03;0,554020494
399;0,039707802;0,03;0,323593408
400;0,06109238;0,08;0,236345245
401;0,045765862;0,03;0,525528729
402;0,040070046;0,03;0,335668191
403;0,036211502;0,03;0,20705006
404;0,103278764;0,13;0,205547972
405;0,009081093;0,04;0,772972683
406;0,021755446;0,04;0,456113856
407;0,048725497;0,08;0,390931288
408;0,021140113;0,03;0,295329551
409;0,048073515;0,05;0,038529694
410;0,049299497;0,03;0,643316572
411;0,043050576;0,05;0,13898848
412;0,043668978;0,02;1,183448896
413;0,065930113;0,08;0,175873585
414;0,075395048;0,08;0,057561904
415;0,136600003;0,21;0,349523797
416;0,213773802;0,21;0,017970485
417;0,05840015;0,08;0,26999812
418;0,064236179;0,08;0,197047763
419;0,031692017;0,01;2,169201687
420;0,06974449;0,05;0,394889802
421;0,029736398;0,05;0,405272044
422;0,068236336;0,08;0,147045799
423;0,077712715;0,08;0,028591067
424;0,122940026;0,13;0,054307491
425;0,043599587;0,03;0,453319564
426;0,102843314;0,13;0,208897581
427;0,070417844;0,08;0,119776953
428;0,084579602;0,08;0,057245024
429;0,059458453;0,03;0,98194844
430;0,077402696;0,05;0,54805392
431;0,091544226;0,08;0,144302823
432;0,09078338;0,08;0,13479225
433;0,096226588;0,08;0,202832349
434;0,092402704;0,08;0,155033801
435;0,074217178;0,08;0,072285276
436;0,079491355;0,05;0,589827091
437;0,213778764;0,21;0,017994114
438;0,047100719;0,01;3,710071906
439;0,066496372;0,03;1,216545741
440;0,072313964;0,08;0,096075445
441;0,006311868;0,02;0,684406584
442;0,09692096;0,08;0,211511996
443;0,075240359;0,08;0,059495516
444;0,114863701;0,13;0,116433068
445;0,076647043;0,08;0,04191196
446;0,054596178;0,01;4,459617823
447;0,03804677;0,02;0,90233849
448;0,071213908;0,08;0,109826144
449;0,071510524;0,08;0,106118456
450;0,032826692;0,03;0,094223062
451;0,04848614;0,01;3,848613963
452;0,059488185;0,08;0,256397691
453;0,087247536;0,05;0,744950712
454;0,110603735;0,13;0,14920204
455;0,082490601;0,05;0,649812013
456;0,081507981;0,03;1,716932694
457;0,067649685;0,05;0,352993697
458;0,061062053;0,05;0,221241057
459;0,090047516;0,08;0,125593949
460;0,082339272;0,08;0,029240899
461;0,024353841;0,03;0,188205289
462;0,058568317;0,05;0,171366349
463;0,089400671;0,08;0,117508393
464;0,053554684;0,08;0,330566451
465;0,052604608;0,05;0,052092165
466;0,061710276;0,08;0,228621554
467;0,087920643;0,13;0,323687359
468;0,070582278;0,05;0,411645561
469;0,035238866;0,01;2,523886576
470;0,068153732;0,08;0,148078356
471;0,068311945;0,08;0,146100692
472;0,079430573;0,08;0,007117841
473;0,083874039;0,08;0,048425492
474;0,084479146;0,08;0,055989321
475;0,040843695;0,05;0,183126092
476;0,068579704;0,08;0,142753705
477;0,053706869;0,03;0,790228983
478;0,046745133;0,03;0,558171088
479;0,061018769;0,08;0,237265391
480;0,068122454;0,05;0,36244908
481;0,06541466;0,05;0,308293194
482;0,069681779;0,03;1,322725952
483;0,045226742;0,05;0,095465168
484;0,085288025;0,08;0,066100318
485;0,114574663;0,13;0,118656436
486;0,08693707;0,13;0,331253309
487;0,096765973;0,13;0,255646364
488;0,026881225;0,01;1,688122541
489;0,029838765;0,01;1,983876504
490;0,020290693;0,01;1,029069327
491;0,023993097;0,02;0,199654862
492;0,050931387;0,02;1,546569332
493;-0,001731254;0,01;1,173125428
494;0,049507748;0,05;0,009845033
495;0,088027425;0,05;0,760548502
496;0,029376758;0,03;0,020774725
497;0,021489952;0,03;0,283668275
498;0,057925813;0,08;0,275927339
499;0,057566702;0,05;0,151334047
500;0,014003953;0,01;0,400395297
501;0,073182248;0,08;0,085221905
502;0,067551553;0,08;0,155605584
503;0,012959549;0,01;0,29595492
504;0,04928872;0,05;0,014225602
505;0,051323958;0,08;0,358450528
506;0,036950361;0,05;0,26099278
507;0,086090505;0,08;0,076131314
508;0,066962734;0,05;0,339254677
509;0,049111277;0,08;0,386109039
510;0,053999659;0,05;0,079993173
511;0,024645114;0,03;0,178496189
512;0,108999409;0,08;0,36249261
513;0,055530626;0,03;0,851020878
514;0,066122673;0,08;0,173466582
515;0,046694025;0,05;0,066119492
516;0,047199648;0,05;0,056007043
517;0,081192277;0,13;0,37544402
518;0,030438567;0,02;0,521928329
519;0,075690553;0,08;0,053868093
520;0,045175161;0,03;0,505838707
521;0,04537122;0,03;0,512373984
522;0,066504449;0,08;0,168694392
523;0,048234835;0,08;0,397064559
524;0,124372534;0,13;0,043288197
525;0,053921085;0,05;0,078421697
526;0,02129836;0,01;1,129836008
527;0,052919813;0,03;0,76399375
528;0,036857434;0,05;0,262851328
529;0,05140157;0,08;0,35748037
530;0,021093152;0,01;1,109315246
531;0,062997326;0,05;0,259946525
532;0,038792413;0,03;0,293080424
533;0,056731977;0,05;0,134639531
534;0,07472641;0,08;0,065919872
535;0,001955108;0,01;0,804489221
536;0,028024178;0,01;1,8024178
537;0,042713933;0,03;0,423797756
538;0,055794165;0,03;0,859805485
539;0,017782209;0,03;0,407259685
540;0,076332793;0,03;1,544426421
541;0,032847259;0,01;2,284725919
542;0,0471677;0,01;3,716769978
543;0,068491563;0,03;1,283052107
544;0,067629702;0,08;0,15462872
545;0,04003755;0,03;0,334585001
546;0,030164998;0,03;0,005499934
547;0,06772349;0,08;0,153456371
548;0,040288851;0,05;0,194222987
549;0,03988371;0,03;0,329457015
550;0,047825154;0,05;0,043496922
551;0,045413151;0,03;0,513771713
552;0,036451407;0,05;0,270971864
553;0,045002278;0,02;1,250113897
554;0,035452403;0,03;0,181746771
555;0,027113231;0,03;0,096225637
556;0,038446911;0,03;0,281563689
557;0,079813994;0,08;0,002325069
558;0,04121298;0,05;0,175740406
559;0,070557222;0,08;0,118034728
560;0,072955251;0,13;0,438805764
561;0,097671725;0,08;0,220896561
562;0,09934891;0,08;0,241861377
563;0,091878481;0,08;0,148481015
564;0,048588473;0,05;0,028230533
565;0,111080639;0,13;0,145533546
566;0,091559716;0,13;0,295694496
567;0,03857965;0,05;0,228406996
568;0,063392103;0,08;0,207598716
569;0,036808617;0,05;0,263827652
570;0,063824899;0,08;0,202188756
571;0,123054825;0,13;0,053424425
572;0,165294111;0,13;0,27149316
573;0,004337091;0,01;0,566290854
574;0,085232079;0,08;0,065400988
575;0,081957228;0,08;0,024465356
576;0,065170169;0,08;0,185372889
577;0,054376725;0,05;0,087534502
578;0,065806039;0,05;0,316120774
579;0,031395465;0,03;0,046515505
580;0,0351712;0,03;0,17237332
581;0,036824573;0,08;0,53969284
582;0,043806739;0,05;0,123865217
583;0,073338158;0,08;0,08327302
584;0,03374014;0,05;0,32519719
585;0,022952098;0,03;0,234930053
586;0,034148037;0,03;0,138267914
587;0,048648249;0,03;0,621608312
588;0,053562172;0,05;0,071243435
589;0,038894925;0,03;0,296497509
590;0,038884535;0,05;0,222309291
591;0,065797716;0,08;0,177528545
592;0,050335824;0,05;0,00671649
593;0,045733958;0,03;0,524465283
594;0,071195133;0,08;0,110060837
595;0,036149353;0,01;2,614935279
596;0,048805024;0,03;0,626834149
597;0,042876124;0,03;0,429204146
598;0,075775631;0,08;0,052804615
599;0,024806736;0,03;0,173108799
600;0,058440931;0,05;0,168818623
601;0,061433535;0,05;0,228670701
602;0,012160443;0,01;0,216044277
603;0,066932909;0,03;1,231096973
604;0,059272587;0,08;0,259092659
605;0,066778317;0,05;0,335566342
606;0,053174719;0,13;0,590963698
607;0,023372792;0,01;1,337279171
608;0,057222821;0,03;0,907427361
609;0,047304403;0,05;0,053911939
610;0,013377278;0,01;0,337727811
611;0,051979531;0,05;0,039590612
612;0,101294659;0,08;0,266183238
613;0,078575052;0,08;0,017811846
614;0,107281722;0,13;0,174755984
615;0,043590792;0,05;0,12818417
616;0,057316788;0,05;0,146335751
617;0,08627829;0,08;0,078478619
618;0,056708746;0,08;0,291140679
619;0,071198486;0,08;0,110018928
620;0,096436359;0,05;0,92872718
621;0,064011313;0,05;0,28022626
622;0,056237541;0,01;4,623754114
623;0,075558394;0,08;0,055520073
624;0,041163091;0,05;0,176738188
625;0,052688278;0,05;0,053765565
626;0,074952021;0,05;0,499040425
627;0,039712742;0,03;0,323758066
628;0,020722315;0,01;1,072231472
629;0,050472368;0,05;0,009447351
630;0,048336901;0,05;0,033261985
631;0,040613718;0,05;0,187725633
632;0,081628501;0,08;0,020356268
633;0,090264387;0,13;0,305658558
634;0,076617576;0,08;0,042280298
635;0,06997025;0,05;0,399405003
636;0,03435684;0,05;0,312863201
637;0,048146363;0,05;0,037072733
638;0,033363923;0,01;2,336392343
639;0,08358369;0,13;0,357048537
640;0,049055304;0,05;0,018893912
641;0,058456499;0,05;0,169129983
642;0,044368032;0,05;0,112639353
643;0,096120782;0,08;0,201509777
644;0,054661654;0,05;0,093233079
645;0,040428624;0,03;0,347620785
646;0,093069322;0,08;0,16336653
647;0,046531923;0,03;0,551064104
648;0,039513852;0,01;2,951385245
649;0,046849281;0,05;0,063014388
650;0,057490055;0,05;0,14980109
651;0,056595452;0,08;0,292556848
652;0,067001775;0,08;0,162477814
653;0,028267212;0,01;1,826721221
654;0,043043282;0,08;0,461958976
655;0,049795434;0,05;0,004091322
656;0,013424653;0,01;0,342465263
657;0,042943191;0,03;0,431439693
658;0,064490087;0,03;1,149669578
659;0,079044662;0,08;0,01194172
660;0,019858789;0,02;0,007060565
661;0,046739064;0,05;0,065218717
662;0,06526202;0,08;0,184224755
663;0,054353062;0,05;0,087061241
664;0,084485069;0,08;0,056063361
665;0,021142753;0,03;0,295241572
666;0,061529115;0,08;0,230886064
667;0,064594604;0,05;0,291892081
668;0,047390826;0,05;0,052183479
669;0,059189651;0,08;0,26012936
670;0,094136015;0,08;0,176700182
671;0,04909439;0,05;0,018112198
672;0,066259719;0,05;0,325194389
673;0,035694085;0,03;0,189802835
674;0,043702941;0,05;0,125941172
675;0,012178869;0,01;0,217886899
676;0,01790465;0,01;0,790465042
677;0,01701952;0,01;0,701951958
678;0,025355965;0,01;1,53559649
679;0,028024178;0,01;1,8024178
680;0,032174271;0,01;2,21742706
681;0,052757837;0,05;0,055156738
682;0,046403944;0,05;0,07192111
683;0,092881091;0,13;0,28553007
684;0,082936577;0,05;0,65873155
685;0,021874655;0,01;1,187465504
686;0,064301722;0,08;0,196228478
687;0,035317533;0,01;2,531753272
688;0,015462096;0,01;0,546209585
689;0,034144126;0,02;0,707206294
690;0,038855359;0,03;0,295178632
691;0,035701904;0,08;0,553726194
692;0,037934817;0,01;2,793481737
693;0,062329769;0,05;0,246595383
694;0,061120924;0,08;0,235988455
695;0,019927287;0,05;0,601454251
696;0,034292925;0,05;0,314141497
697;0,030556854;0,05;0,388862923
698;0,020089749;0,01;1,008974925
699;0,048197761;0,03;0,606592039
700;0,062682621;0,08;0,216467235
701;0,02414644;0,05;0,51707121
702;0,033392541;0,01;2,339254111
703;0,025920004;0,01;1,592000365
704;0,016503103;0,03;0,449896564
705;0,014122008;0,01;0,412200835
706;0,055066139;0,05;0,10132277
707;0,001337086;0,01;0,866291427
708;0,026194502;0,01;1,619450167
709;0,024353512;0,01;1,435351163
710;0,044932652;0,03;0,497755075
711;0,017013293;0,01;0,701329276
712;0,01709057;0,01;0,709057018
713;0,003980668;0,01;0,601933174
714;0,033901118;0,03;0,130037258
715;0,04605709;0,05;0,078858197
716;-0,009667831;0,01;1,966783147
717;0,050468028;0,08;0,369149655
718;-0,000134271;0,02;1,006713538
719;0,038942881;0,03;0,298096031
720;0,052086014;0,08;0,348924821
721;0,02637779;0,01;1,637778968
722;0,061820712;0,05;0,236414239
723;0,010330423;0,01;0,033042278
724;0,023312794;0,03;0,222906865
725;0,062692322;0,05;0,253846437
726;0,016692325;0,01;0,669232547
727;0,039092969;0,03;0,303098972
728;0,022804942;0,01;1,280494198
729;0,004284598;0,01;0,571540207
730;0,125917852;0,13;0,031401139
731;0,069054954;0,08;0,136813078
732;0,013601586;0,01;0,360158622
733;0,038946144;0,02;0,947307214
734;0,061563402;0,08;0,23045747
735;0,026225636;0,01;1,622563578
736;0,027512562;0,05;0,449748769
737;0,038760491;0,01;2,876049072
738;0,026884843;0,01;1,688484266
739;0,037383176;0,01;2,738317639
740;0,056855001;0,05;0,137100011
741;0,037880175;0,02;0,894008741
742;0,018134465;0,03;0,395517819
743;0,042725611;0,05;0,14548777
744;0,026506457;0,03;0,116451417
745;0,018896852;0,01;0,889685169
746;0,056360677;0,03;0,878689229
747;0,02264058;0,05;0,547188394
748;0,03941584;0,03;0,313861335
749;0,057920147;0,03;0,930671558
750;0,055421304;0,05;0,108426079
751;0,050705101;0,03;0,690170045
752;0,036272787;0,03;0,209092885
753;0,042222559;0,03;0,407418648
754;0,046525918;0,05;0,069481641
755;0,060837641;0,05;0,216752827
756;0,075640149;0,08;0,054498132
757;0,058077205;0,03;0,935906832
758;0,021099284;0,01;1,109928429
759;0,04685111;0,05;0,062977806
760;0,077108286;0,08;0,036146421
761;0,027370291;0,03;0,087656972
762;0,033009116;0,03;0,100303854
763;0,0664974;0,08;0,168782495
764;0,03863088;0,03;0,287696014
765;0,060699858;0,08;0,241251778
766;0,033059243;0,02;0,652962156
767;0,060870528;0,05;0,217410564
768;0,04312934;0,01;3,312933981
769;0,04126903;0,01;3,126903042
770;0,018602196;0,01;0,860219613
771;0,049269285;0,13;0,6210055
772;0,048364185;0,01;3,83641848
773;0,076640092;0,08;0,041998852
774;0,05659562;0,05;0,131912395
775;0,059791446;0,05;0,195828915
